id,ru,en,tr
calc4,"Здесь&nbsp;можно вычислять отношения: например, &laquo;<strong>найти слово&nbsp;D, связанное со&nbsp;словом&nbsp;C таким&nbsp;же образом, как слово&nbsp;A связано со&nbsp;словом B</strong>&raquo;. Таким образом можно определять семантические связи между понятиями и решать задачи на аналогии. В&nbsp;форме ввода приведен пример: какое слово относится к&nbsp;слову <strong>&laquo;Лондон&raquo;</strong>, так&nbsp;же, как <strong>&laquo;Россия&raquo;</strong> относится к&nbsp;<strong>&laquo;Москве&raquo;</strong>? Ответ&nbsp;&#8212; &laquo;<strong>Великобритания</strong>&raquo;: Лондон столица Великобритании, а&nbsp;Москва&nbsp;&#8212; столица России. <a onclick =""javascript:ShowHide('HiddenDiv')"" href=""javascript:;"" >Подробнее...</a></p>
<div class=""text"" id=""HiddenDiv"" style=""DISPLAY: none"" ><p><small>Можно сказать, что это вычитание компоненты &laquo;москва&raquo; из&nbsp;семантики слова &laquo;россия&raquo; и&nbsp;добавление компоненты &laquo;лондон&raquo;. Модель приходит к&nbsp;выводу, что &laquo;Россия для Лондона&nbsp;&#8212; это Великобритания&raquo; и&nbsp;выдает &laquo;Великобританию&raquo; в&nbsp;качестве ответа.</small></p>
<p><small>К&nbsp;словам можно дописывать символ подчеркивания &laquo;_&raquo; и&nbsp;<a href=""http://universaldependencies.org/u/pos/all.html"" data-toggle=""tooltip"" data-placement=""top"" title=""NOUN, PROPN, VERB, ADJ..."">тэг части речи</a> (<i>&laquo;река_NOUN&raquo;</i>). В&nbsp;ином случае, <i>RusVectōrēs</i> определит часть речи автоматически.</small></p></div>","Calculate ratios, such as&nbsp;&laquo;<strong>find a&nbsp;word&nbsp;D related to&nbsp;the word&nbsp;C in&nbsp;the same way as&nbsp;the word&nbsp;A is&nbsp;related to&nbsp;the word B</strong>&raquo;. An&nbsp;example is&nbsp;given in&nbsp;the placeholder: which word is&nbsp;in&nbsp;the same relation to&nbsp;the word &laquo;<strong>Berlin</strong>&raquo; as&nbsp;&laquo;<strong>Türkiye</strong>&raquo; is&nbsp;to&nbsp;&laquo;<strong>Ankara</strong>&raquo;? The answer is&nbsp;&laquo;<strong>Almanya</strong>&raquo;: these concepts are in&nbsp;identical capital relations.","«<strong>A kelimesi B kelimesiyle belli bir açıdan ilişkili ise, C kelimesi ile hangi kelime arasında benzer bir ilişki vardır?</strong>» şeklindeki sorguları cevaplar. Örnek bir sorgu için: «<strong>Ankara</strong>» kelimesi ile «<strong>Türkiye</strong>» kelimesi arasındaki anlamsal ilişki, «<strong>Berlin</strong>» kelimesi ile hangi kelime arasında mevcuttur? Cevap «<strong>Almanya</strong>»: bu kelimeler başkent-ülke ilişkisine sahiptir."
<div class=""text"" id=""HiddenDiv"" style=""DISPLAY: none"" ><p><small>You can also think of&nbsp;this operation as&nbsp;removing the &laquo;Москва&raquo; component from the semantics of&nbsp;&laquo;Россия&raquo; and augmenting it&nbsp;with &laquo;Лондон&raquo; component. The model inferences that it&nbsp;should change the&nbsp;country. Thus, it&nbsp;outputs &laquo;Великобритания&raquo; as&nbsp;an&nbsp;answer.</small></p></div>","A kelimesi B kelimesiyle ilişkiliyse, C kelimesi de D kelimesiyle aynı ilişkidedir gibi oranları hesaplayabilirsiniz. Örnek bir alanı için: «Ankara» kelimesi «Türkiye» kelimesiyle ilişkiliyse, «Londra» kelimesi de hangi kelimeyle ilişkilidir? Cevap «İngiltere»: bu kavramlar başkent-ülke ilişkisine sahiptir. <a onclick =""javascript:ShowHide('HiddenDiv')"" href=""javascript:;"" >Daha fazla bilgi...</a></p>
<small>Bu işlemi, "Moskova" bileşenini "Rusya" kelimesinin anlamından çıkarıp, "Londra" bileşeni ile arttırmak olarak da düşünebilirsiniz. Model, ülkeyi değiştirmesi gerektiğini çıkarıyor. Böylece, yanıt olarak "Birleşik Krallık" çıkar.</small></p>"
calc5,"считает, что это будет:",thinks it&nbsp;will&nbsp;be:,"sanıyor ki, olacak:"
calc7,НКРЯ,Ruscorpora,Rus Derlemi
calc8,Русская Wikipedia,Russian Wikipedia,Rus Vikipedisi
calc9,НКРЯ и&nbsp;русская Wikipedia,Ruscorpora and Russian Wikipedia,Rus derlemi ve Rus Vikipedisi
calc10,Веб-корпус,Web corpus,Web Derlemi
calc11,Новостной корпус,News corpus,Yeni derlem
calc13,computer linguistics,bilgisayar dilbilim,bilgisayar dilbilim
calc18,Вычислить!,Calculate!,Hesapla
calc21,"Вы&nbsp;можете приписать к&nbsp;слову знак подчеркивания &laquo;_&raquo; и&nbsp;<a href=""http://universaldependencies.org/u/pos/all.html"" data-toggle=""tooltip"" data-placement=""top"" title=""NOUN, PROPN, VERB, ADJ..."">тэг части речи</a> (<i>&laquo;tea_NOUN&raquo;</i>). В&nbsp;ином случае <i>WebVectors</i> определит часть речи самостоятельно.","You can optionally end the words with an&nbsp;underscore and a&nbsp;<a href=""http://universaldependencies.org/u/pos/all.html"" data-toggle=""tooltip"" data-placement=""top"" title=""NOUN, PROPN, VERB, ADJ..."">PoS tag</a> (<i>&laquo;tea_NOUN&raquo;</i>). Otherwise, <i>WebVectors</i> will analyze words on&nbsp;its own.","Sözcüklerin sonuna isteğe bağlı olarak bir alt çizgi ve bir <a href=""http://universaldependencies.org/u/pos/all.html"" data-toggle=""tooltip"" data-placement=""top"" title=""İSİM, ÖZEL İSİM, FİİL, SIFAT..."">PoS etiketi</a> eklenebilir (<i>«çay_ISİM»</i>). Aksi takdirde, <i>WebVectors</i> sözcükleri kendisi analiz edecektir."
calc23,НКРЯ,Ruscorpora,Rus derlemi
calc24,Русская Wikipedia,Russian Wikipedia,Rus Vikipedisi
calc25,НКРЯ и&nbsp;русская Википедия,Ruscorpora and Russian Wikipedia,Rus derlemi ve Rus Vikipedisi
calc26,Веб-корпус,Web corpus,Web derlemi
calc27,Новостной корпус,News corpus,Haber derlemi
calc31,Относится&nbsp;к,Relates&nbsp;to,ilgili
calc32,"Вы&nbsp;также можете попробовать более сложные операции над векторами, чем простое решение пропорции.","If&nbsp;you feel confident with algebraic operations on&nbsp;vectors, you can try something more sophisticated than simple analogical inference.","Vektörler üzerinde cebirsel işlemler uygulayarak basit benzetimsel çıkarımlardan daha karmaşık ilişkiler elde edebilirsin."
calc33,mother,adam,adam
calc34,daughter,kral,kral
calc35,father,kadın,kadın"similar38"
description1,"РусВекторес: дистрибутивная семантика для русского языка, веб-интерфейс и модели для скачивания","WebVectors: word embeddings, web interface and models to download","WebVectors-TR: kelime temsilleri, web arayüzü ve Türkçe modeller"
home0,"сервис, в котором вы можете исследовать семантические отношения между словами при помощи дистрибутивных моделей.","Tool to explore semantic relations between Turkish words in distributional models.","Türkçe kelimeler arasındaki anlamsal ilişkileri keşfedin!"
home1,WebVectors: семантические модели для русского языка,Turkish WebVectors: Word Embeddings Online,Turkish WebVectors: Çevrimiçi Kelime Temsilleri
home2,"Введите слово, чтобы получить список из&nbsp;10&nbsp;его ближайших семантических ассоциатов (квази-синонимов):","Enter a word to produce a list of its 10 nearest semantic associates.<br/> By default, Word2Vec skip-gram NS model will be used; for other models, visit <a href='associates/'>Similar Words</a> tab.","Lütfen bir kelime girin. Gireceğiniz kelimeye en benzer 10 kelime listelenecektir.<br/>Benzer kelimeler hesaplanırken, Word2Vec skip-gram NS modeli kullanılacaktır.<br/> Farklı kelime temsil modellerini denemek için <a href='associates/'>Benzer Kelimeler</a> sekmesini ziyaret edin:"
home3,Найти похожие слова!,Find similar words!,Benzer kelimeleri bul!
home4,Семантические ассоциаты для,Semantic associates for,Kendisine benzer kelimelerin listelendiği sözcük:
home5,вычисленные на&nbsp;модели,Computed&nbsp;on,Kullanılan model:
home6,&#8217;You shall know a&nbsp;word by&nbsp;the company it&nbsp;keeps.&#8217; (Firth 1957).,&#8217;You shall know a&nbsp;word by&nbsp;the company it&nbsp;keeps.&#8217; (Firth 1957),
home7,computer,gece,gece
home8,1 000 most frequent nouns in the English Wikipedia model,1 000 most frequent nouns in the English Wikipedia model,İngilizce Vikipedi modelindeki en yaygın 1,000 kelime.
home9,5 000 most frequent words in the English Wikipedia model, 5 000 most frequent words in the English Wikipedia model,İngilizce Vikipedi modelindeki en yaygın 5,000 kelime.
similar0,Araneum fastText,Araneum fastText,Araneum fastText
similar1,Вычисление семантических ассоциатов,Computing associates,Benzer Kelimeler
similar2,"Введите слово, чтобы получить список из&nbsp;10&nbsp;его ближайших семантических аналогов (квази-синонимов). Вы&nbsp;можете приписать к&nbsp;слову знак подчеркивания &laquo;_&raquo; и&nbsp;<a href=""http://universaldependencies.org/u/pos/all.html"" data-toggle=""tooltip"" data-placement=""top"" title=""NOUN, PROPN, VERB, ADJ..."" target=""_blank"">тэг части речи</a> (<i>&laquo;tea_NOUN&raquo;</i>). Если вы&nbsp;этого не&nbsp;сделаете, <i>WebVectors</i> определит часть речи автоматически.","Find the 10 words closest to the word you entered. The similarity method is a commonly used method for evaluating the quality of word representations. The aim is to find the first 10 words that maximize cosine similarity with the word given in the query.","Girdiğin kelimeye en yakın 10 kelimeyi bul. Benzeşim yöntemi, sözcük temsillerinin kalitesini değerlendirmek için sıklıkla kullanılan bir yöntemdir. Amaç, sorguda verilen kelime ile kosinüs benzerliğini maksimize eden ilk 10 kelimeyi bulmaktır."
similar3,Выберите модель:,Choose the model:,Model seç:
similar4,НКРЯ,Ruscorpora,Rus Derlemi
similar5,Английская Wikipedia,English Wikipedia,İngilizce Wikipedi
similar6,Британский Национальный Корпус,British National Corpus,İngilizce Ulusal Derlemi
similar7,Норвежский новостной корпус,Norsk Aviskorpus,Norveç Gazete Derlemi
similar8,Английский Gigaword,English Gigaword,İngilizce Gigaword
similar9,Показывать только:,Show only:,Sadece bunu göster:
similar10,Существительные,Nouns,İsimler
similar11,Глаголы,Verbs,Fiiller
similar12,Наречия,Adverbs,Zarflar
similar13,Прилагательные,Adjectives,Sıfatlar
similar14,Все части речи,All of&nbsp;them,Hepsi
similar15,Найти похожие слова!,Find similar words!,Benzer kelimeleri bul!
similar16,Cемантические ассоциаты для,Semantic associates for,Anlamsal ilişkiler:
similar17,вычислено на&nbsp;модели,computed on&nbsp;data from,İlgili veri kullanılarak hesaplandı:
similar18,Модели неизвестно слово,The model does not know the word,Model bu kelimeyi tanıyamadı
similar19,Часть речи запроса,Query part of&nbsp;speech,Kelime türü (PoS) sorgusu
similar20,Имена собственные,Proper names,Özel isimler
similar21,Некорректный запрос,Incorrect query,Hatalı sorgu
similar22,Некорректный тэг,Incorrect tag,Hatalı etiket
similar23,Нет подходящих результатов,No&nbsp;results,Sonuç bulunamadı
similar24,Вычисление семантической близости,Computing similarity,Sayısal olarak benzerlik hesaplama
similar25,"Введите через пробел 2&nbsp;слова, чтобы вычислить их&nbsp;семантическое сходство. Можно также ввести несколько пар, разделяя их&nbsp;запятыми, как в&nbsp;примере.","Enter 2&nbsp;space-separated words to&nbsp;calculate their similarity. It&nbsp;is&nbsp;also possible to&nbsp;enter several pairs separating them with commas, as&nbsp;in&nbsp;the placeholder.","Benzerliklerini hesaplamak için aralarında bir boşluk bırakarak 2 kelime girin. Aynı zamanda, örnekte olduğu gibi virgülle ayrılarak birden fazla kelime çifti de girilebilir."
similar26,"movie film, city town","Git gider, gel gelir","Git gider, gel gelir"
similar27,Вычислить семантическую близость!,Compute semantic similarity!,Anlamsal benzerlik hesapla!
similar28,Пары слов,Word pairs,Kelime çiftleri
similar29,Косинусная близость,Cosine similarity,Kosinüs benzerliği
similar30,Нет близких слов с&nbsp;такой частью речи,No&nbsp;similar words with this tag,Bu etikete sahip benzer kelimeler
similar31,История запросов близости,Similarity queries history,Geçmiş benzerlik sorguları 
similar32,Слова нет в словаре модели; вектор восстановлен из формы слова.,The word is out of model vocabulary; its embedding is inferred from its characters.,Modelin sözcük dağarcığında bulunamadı. Sözcük temsili her bir karakter kullanılarak oluşturulmuştur.
similar33,Тайга,Taiga,Taiga
similar34,"Для каждого слова показана его часть речи (если в модели они размечены).","Parts of speech are shown for each word, if present in the model.","Kelime türü etiketleri, modelde mevcutsa her kelimenin yanında gösterilir."
similar35,Тайга fastText,Taiga fastText,Taiga fastText
similar36,GeoWAC fastText,GeoWAC fastText,GeoWAC fastText
similar37,"Word2Vec Skip-Gram: Турецкий веб-корпус Boun (Sak, 2010 г.) и Huawei Corpus (Yıldız, 2016 г.)","Word2Vec Skip-Gram Negative Sampling","Word2Vec Skip-Gram Negative Sampling"
similar38,"FastText Skip-Gram: Турецкий веб-корпус Boun (Sak, 2010 г.) и Huawei Corpus (Yıldız, 2016 г.)","FastText Skip-Gram Negative Sampling","FastText Skip-Gram Negative Sampling"
similar39,"GloVe","Turkish GloVe","Turkish GloVe"
synraw1,"Слова, семантически связанные&nbsp;с",Semantically related words for,Anlamsal olarak ilişkili
synraw2,Какие слова похожи на&nbsp;слово,What words are related&nbsp;to,İlişkili kelimeler
synraw3,в,in&nbsp;the,içinde
synraw4,Показать вектор,Show the raw vector&nbsp;of,Vektörünü göster
synraw5,в&nbsp;модели,in&nbsp;model,Modelde
synraw6,Поискать,Search,Ara
synraw7,в&nbsp;Интернете,in&nbsp;the Internet,İnternet
synraw8,на&nbsp;Wiktionary,in&nbsp;the Wiktionary,Vikisözlük
synraw9,О&nbsp;слове,About the word,Kelime hakkında
synraw10,&#8212;&nbsp;визуализация вектора; по&nbsp;клику доступна полноразмерная версия,vector plot; click for full-size image,vektör grafiği: tam boyutlu resim için tıkla.
synraw11,в&nbsp;Википедии,in&nbsp;Wikipedia,Vikipedi'de
synraw12,Это слово в&nbsp;других моделях,This word in&nbsp;other models,Diğer modellerde bu kelimenin karşılığı
synraw13,в&nbsp;НКРЯ,in&nbsp;the RNC,Rus Ulusal Derlemi
synraw14,частота в корпусе,corpus frequency:,Derlemdeki tekrar sayısı:
synraw15,часть речи, part of speech,Konuşmanın bir kısmı
synraw16,Визуализация вектора,Vector plot,"Vektör grafiği"
upload10,"Когда обучение закончится, вы&nbsp;сможете скачать вашу модель здесь:","When the training is&nbsp;finished, you can download your model here:","Eğitim bittiğinde modeli buradan indirebilirsin:"
upload11,Размерность векторов:,Vector size:,Vektör uzunluğu:
upload12,Алгоритм обучения:,Training mode:,Eğitim modu:
upload13,Размер симметричного окна:,Symmetric window size:,Simetrik pencere boyutu
upload1,Обучите свою модель,Train your model,Modelini eğit.
upload2,Загрузите свой корпус!,Upload your own corpus!,Kendi derlemini yükle.
upload3,"Введите URL, с&nbsp;которого можно загрузить ваш обучающий корпус. Корпус должен представлять собой txt-файл в&nbsp;кодировке UTF-8 (без некорректных символов), упакованный gzip, и&nbsp;содержащий одно предложение на&nbsp;каждой строке.",Enter a&nbsp;direct URL from where your training corpus can be&nbsp;downloaded. It&nbsp;should be&nbsp;a&nbsp;gzipped plain text UTF-8 (with no&nbsp;incorrect characters) document with one sentence per line.,"Eğitim derleminin doğrudan indirilebileceği bir URL gir. Bu, her satırda bir cümle olan gzip ile sıkıştırılmış düz bir metin (UTF-8) belgesi olmalıdır."
upload4,Обработать,Process,İşlem
upload5,Ваш файл,Your file from,"Dosyanız:"
upload6,отправлен в&nbsp;очередь на&nbsp;загрузку и&nbsp;обучение.,was put into downloading and training queue.,indirme ve eğitim sırasına konuldu.
upload7,Ваш идентификатор обучения&nbsp;&#8212;,Your training identifier&nbsp;is,Eğitim tanımlayıcınız:
upload8,"Пожалуйста, сохраните его в&nbsp;надежном месте.","Please, write it&nbsp;down somewhere.","Lütfen bir yere yazın."
upload9,"Обучение вашей модели займет некоторое время. Типичная скорость обработки&nbsp;&#8212; около 50&nbsp;тысяч слов в&nbsp;секунду (иногда чуть медленнее, в&nbsp;зависимости от&nbsp;многих факторов).",It&nbsp;will take a&nbsp;while to&nbsp;train your model. General safe rule of&nbsp;thumb as&nbsp;for processing speed is&nbsp;approximately 50&nbsp;thousand words a&nbsp;second (plus some additional time for various system pipelines).,Modelinizi eğitmek biraz zaman alacaktır. İşlem hızı için genel olarak yaklaşık saniyede 50 bin kelime öngörülmektedir.
usermodel1,"Модели, созданные пользователями",User-generated models,"Kullanıcı tarafından oluşturulmuş modeller"
usermodel2,Обучение модели на&nbsp;вашем корпусе завершено,Model training on&nbsp;your corpus has finished.,"Eğitim başarıyla sonlandı."
usermodel3,Здесь вы&nbsp;можете скачать вашу модель в&nbsp;бинарном формате Word2Vec (правая кнопка на&nbsp;ссылке&nbsp;&#8212; Скачать как):,Here you can download your model in&nbsp;binary Word2Vec format (right-click on&nbsp;the link below and press Save Link&nbsp;As):,Aşağıdaki bağlantıya sağ tıklayıp "Bağlantıyı Farklı Kaydet" seçeneğini seçerek modelinizi binary Word2Vec formatında indirebilirsiniz:
usermodel4,Ваша модель с&nbsp;идентификатором,Your model with identifier,Modelinizin ismi (kimlik)
usermodel5,все еще обрабатывается. Приходите попозже.,is&nbsp;still being processed. Please come back later.,"İşlem devam ediyor, lütfen bekleyin."
usermodel6,"Извините, идентификатор не&nbsp;распознан.","Unknown identifier, sorry.","Bilinmeyen bir model, lütfen tekrar deneyin."
visual1,Визуализация семантических связей между словами,Visualizing word inter-relations,Görselleştirme
visual2,Введите cлова через запятую. Мы&nbsp;построим карту их&nbsp;взаимного расположения в&nbsp;выбранной модели/моделях и&nbsp;отобразим двумерную проекцию этой карты (из&nbsp;векторного пространства высокой размерности).,"Enter a&nbsp;comma-separated list of&nbsp;words. We&nbsp;will build a&nbsp;map of&nbsp;their inter-relations in&nbsp;the chosen model(s), and return 2-dimensional version of&nbsp;this map (projected from high-dimensional vector space).","Virgülle ayrılmış bir kelime listesi girin. Seçilen model kullanılarak, kelimeler arasındaki ilişkiye göre bir harita oluşturulacak ve bu haritanın 2 boyutlu bir versiyonu (yüksek boyutlu vektör uzayından yansıtılmış) gösterilecek."
visual3,Визуализация взаимного расположения слов при помощи t-SNE,Visual representation of&nbsp;word relations using t-SNE,t-SNE algoritması kullanılarak kelime temsilleri arasındaki ilişkinin görselleştirilmesi
visual4,Следующие слова неизвестны модели:,The following words were unknown to&nbsp;the model:,Model tarafından bilinmeyen kelimeler:
visual5,&#8212;&nbsp;это алгоритм снижения размерности и&nbsp;визуализации высокоразмерных данных. Он&nbsp;разработан Лоренсом ван дер Маатеном и&nbsp;описан в&nbsp;этой статье:,"is&nbsp;an&nbsp;algorithm for dimensionality reduction and visualization of&nbsp;high-dimensional datasets, developed by&nbsp;Laurens van der Maaten and described in&nbsp;this paper:","Laurens van der Maaten tarafından geliştirilen ve ilgili makalede tanımlanan, yüksek boyutlu veri kümelerinin boyutsallık azaltılması ve görselleştirilmesi için kullanılan bir algoritmadır."
visual6,Визуализация отношений между словами; по&nbsp;клику доступна полноразмерная версия,Plot for word relations; click for full-size image,Kelime ilişkileri için çizim; tam boyutlu resim için tıklayın.
visual7,"car,tank,transport,computer,mouse,Moscow,Paris,London,Russia,France,Britain,clean,dirty,new","araba, tank, taşıma, bilgisayar, fare, İstanbul, Berlin, Londra, Türkiye, Almanya, İngiltere, temiz, kirli, yeni","araba, tank, taşıma, bilgisayar, fare, İstanbul, Berlin, Londra, Türkiye, Almanya, İngiltere, temiz, kirli, yeni"
visual8,Слишком мало слов,Too few words,Çok az kelime
visual9,Слова не&nbsp;должны повторяться,Words must be&nbsp;unique,Kelimeler özgün (eşsiz) olmalıdır.
visual15,Визуализировать,Visualize,Görselleştir
visual16,Визуализация,Visualization,Görselleştirme
visual17,вычислено на&nbsp;модели,computed on&nbsp;data from,Hesap sırasında kullanılan veri:
visual18,5&nbsp;тысяч наиболее частотных знаменательных слов в&nbsp;НКРЯ,5K most frequent content words in&nbsp;the Russian National Corpus,Rus Ulusal Derlemindeki en yaygın 5000 kelime.
visual19,Визуализация отношений между cуществительными; по&nbsp;клику доступна полноразмерная версия,Plot for noun relations; click for full-size image,İsimler arasındaki ilişkiler için çizim; tam boyutlu resim için tıklayın.
visual20,Примеры больших семантических карт,Examples of&nbsp;large semantic maps,Büyük anlamsal haritaların örnekleri.
visual21,Тысяча наиболее частотных существительных в&nbsp;корпусе НКРЯ+Википедия,1K&nbsp;most frequent nouns in&nbsp;the RNC+Wikipedia corpus,RNC+Wikipedia korpusundaki en yaygın 1K isim.
visual22,Визуализировать в&nbsp;TensorFlow Projector,Visualize in&nbsp;TensorFlow Projector,TensorFlow Projector'da görselleştirin.
visual23,Показать трёхмерную проекцию взаимного расположения выбранных слов в&nbsp;TensorFlow Projector от&nbsp;Google,Show 3D&nbsp;projection of&nbsp;the chosen words in&nbsp;Google&#8217;s TensorFlow Projector,Seçilen kelimelerin Google TensorFlow Projector'daki 3D yansımasını göster.
visual24,"Вы&nbsp;можете добавлять новые группы слов кнопкой &#8217;(+)&#8217;; они отобразятся на&nbsp;визуализации разными цветами (если группа одна, цвета соответствуют частям речи). Оптимальное общее количество слов&nbsp;&#8212; от&nbsp;7&nbsp;до&nbsp;20.","You can add new groups of&nbsp;words with the &#8217;(+)&#8217; button. They will be&nbsp;visualized with different colors (if&nbsp;there is&nbsp;only 1&nbsp;group, the colors marks parts of&nbsp;speech). Optimal total number of&nbsp;words is&nbsp;from 7&nbsp;to&nbsp;20.","'(+)' butonunu kullanarak yeni kelime grupları ekleyebilirsiniz. Eğer sadece bir grup varsa, renkler konuşma bölümlerini gösterir. En uygun kelime sayısı 7 ile 20 arasındadır."
visual25,Выберите способ визуализации,Choose the method of visualization,Görselleştirme yöntemi seçin.
visual26,Визуализация взаимного расположения слов при помощи PCA,Visual representation of&nbsp;word relations using PCA,PCA algoritması ile kelime vektörlerinin görsel temsili.
frequency1,Частотность слова,Word frequency,Kelime sıklığı
frequency2,Высокая,High,Yüksek
frequency3,Средняя,Medium,Orta
frequency4,Низкая,Low,Düşük
frequency5,Высокочастотные слова: доля в корпусе выше 0.00001,Very frequent words: corpus ratio higher than 0.00001,Sık geçen kelimeler: Derlemde bulunma oranı 0.00001'den yüksek olan kelimeler
frequency6,Среднечастотные слова: доля в корпусе от 0.0000005 до 0.00001,Mid-frequent words: corpus ratio from 0.0000005 to 0.00001,Orta-sıklıkta geçen kelimeler: Derlemde bulunma oranı 0.0000005 ile 0.00001 arasında olan kelimeler.
frequency7,Низкочастотные слова: доля в корпусе ниже 0.0000005,Rare words: corpus ratio less than 0.0000005,Nadir kelimeler: Derlemde bulunma oranı 0,0000005'ten az kelimeler.
graph1,Показать граф,Show graph,Grafiği göster
graph2,Порог близости,Similarity threshold,Benzerlik eşiği
graph3,Связи между парами слов с меньшей косинусной близостью не будут показаны,Edges between word pairs with lower cosine similarity will be hidden,Kelime çiftleri arasındaki kosinüs benzerliği daha düşük olan kenarlar gizlenecektir.
graph4,Число соседей,Number of neighbours,Komşu sayısı
graph5,Максимальное число. Может измениться в результате частотной фильтрации,Maximum possible number. It can depend on words' frequency in result,Maksimum olabilecek sayı. Kelimenin geçme sıklığına bağlıdır.
graph6,Показать теги,Show tags,Etiketleri göster
graph7,Обновить,Refresh,Yenile
contextual0,Использование контекстуализированных моделей не настроено.,Contextualized embeddings are not configured.,Bağlamsal kelime temsilleri konfigüre edilmedi.
contextual1,Двумерный текст: визуализация контекстуализированных языковых моделей,Two-dimensional text: visualising contextualized language models,İki boyutlu metin: bağlamsal dil modellerini görselleştirme
contextual2,Введите фразу или предложение (5-15 слов):,Input a phrase or a sentence (5-15 words):,Bir ifade veya cümle girin (5-15 kelime):
contextual3,Сосновый бор тянется на многие километры,Сосновый бор тянется на многие километры,.
contextual4,Лексические подстановки для слов в вашем запросе:,Lexical substitutes for words from your query:, Sorgunuzdaki kelimelere benzer kelimeler:
contextual5,Подобрать подстановки, Find lexical substitutes, Benzer anlamlı kelimeleri bul
